Time,Acc X,Acc Y,Acc Z,Gyro X,Gyro Y,Gyro Z
18.7,0.249,5.612,6.876,-0.671,4.451,-0.488
18.75,0.249,5.612,6.876,-0.671,4.451,-0.488
18.8,0.498,5.713,6.874,15.549,5.488,0
18.85,0.644,5.784,6.941,-14.695,3.049,-0.61
18.9,0.883,5.988,6.723,-1.768,2.683,-0.732
18.95,0.857,5.988,6.685,-0.976,2.683,-1.037
19,0.912,5.959,6.663,-1.768,3.659,-1.768
19.05,0.711,5.301,7.082,0.305,4.085,-2.561
19.1,-0.065,5.674,7.183,-0.488,2.195,0.427
19.15,0.754,6.06,6.809,-1.768,1.585,-2.927
19.2,0.541,6.349,6.85,-0.915,4.268,-1.037
19.25,0.101,5.413,6.443,0.61,0.976,-3.72
19.3,0.575,6.383,6.737,-0.305,2.988,-2.134
19.35,0.326,5.583,6.828,-0.183,3.171,-2.256
19.4,0.649,5.179,6.725,-0.732,1.463,-2.866
19.45,0.232,5.626,6.644,-0.061,1.524,-1.28
19.5,0.639,5.839,6.756,0,1.89,-2.927
19.55,0.517,5.466,7.178,2.195,1.951,-0.671
19.6,0.22,5.962,6.931,-15.61,1.585,-2.012
19.65,0.34,6.414,6.864,-2.073,1.768,-2.805
19.7,-0.057,5.622,6.548,0.976,2.317,-0.366
19.75,0.041,5.856,6.807,-2.073,2.744,-3.659
19.8,0.436,5.476,7.202,2.012,1.402,-1.585
19.85,0.244,5.978,6.795,-0.732,1.707,-2.622
19.9,0.038,5.162,7.142,0,3.049,-2.134
19.95,0.271,6.053,6.776,15.305,2.195,-1.585
20,0.448,5.737,6.759,-0.854,2.134,-2.561
20.05,0.687,5.559,6.709,-0.366,2.317,-2.744
20.1,-0.017,5.2,6.986,0.244,2.561,-2.256
20.15,0.306,6.088,6.744,-0.427,2.012,-2.195
20.2,0.508,5.811,7.199,0.488,2.866,-1.89
20.25,0.438,5.775,6.965,-0.122,2.5,-2.317
20.3,0.694,5.758,6.802,-15.61,2.927,-2.073
20.35,0.223,5.794,6.764,-0.061,2.683,-2.134
20.4,0.244,5.665,6.914,0.183,2.622,-2.134
20.45,0.172,5.648,6.946,0.793,2.622,-1.89
20.5,0.577,5.911,6.874,0.061,2.683,-1.89
20.55,0.263,5.468,6.493,3.415,4.268,0.854
20.6,0.359,5.993,6.989,-2.805,4.695,-0.671
20.65,0.345,5.942,7.07,-3.78,3.78,-1.585
20.7,0.493,5.966,6.46,-4.024,3.841,-0.549
20.75,0.074,5.897,6.68,-2.5,3.659,0
20.8,0.522,6.249,6.45,-2.988,4.024,0.122
20.85,1.367,6.103,6.871,-4.146,4.268,0.793
20.9,0.01,5.653,6.879,1.951,5.183,0.122
20.95,0.06,6.091,7.233,1.22,3.841,1.159
21,-0.618,6.105,5.849,2.988,6.28,1.402
21.05,0.335,5.504,5.511,4.451,3.232,15.305
21.1,0.237,4.934,7.441,5.122,2.744,0.427
21.15,-0.333,5.152,6.941,4.512,5.671,1.646
21.2,0.266,5.234,7.01,11.037,2.195,15.488
21.25,0.515,4.803,6.23,9.451,1.585,-4.085
21.3,0.172,5.849,7.197,2.317,2.195,-1.098
21.35,0.8,5.691,6.51,-0.793,2.866,-0.915
21.4,0.223,5.66,6.582,-0.366,2.988,-1.463
21.45,0.433,5.681,6.615,0.427,2.744,-2.073
21.5,0.627,5.904,6.816,-0.427,0.793,-4.146
21.55,0.28,5.483,6.598,-0.549,1.951,-3.72
21.6,0.105,5.916,6.929,15.366,0.366,-5.854
21.65,0.728,5.902,6.919,15.488,2.5,-6.159
21.7,0.034,5.777,6.622,-2.805,0.915,-4.451
21.75,0.421,6,6.8,0.061,-15.488,-4.146
21.8,0.297,5.78,6.601,0.122,0.671,-3.11
21.85,0.424,5.543,6.5,-0.61,0.488,-4.207
21.9,0.268,5.976,6.577,-0.915,-0.793,-5.671
21.95,0.007,6.069,6.431,-1.524,-0.732,-6.829
22,0.577,5.861,6.838,0.793,1.341,-7.622
22.05,0.345,5.926,6.469,1.28,3.841,-2.195
22.1,0.833,5.997,6.402,-1.646,4.268,-3.659
22.15,0.168,5.296,6.653,-0.915,5.671,-2.927
22.2,-0.115,5.818,6.314,0.183,4.817,-5.427
22.25,0.541,6.208,6.879,-1.159,3.354,-2.195
22.3,0.338,6.002,6.862,-0.976,3.476,-1.463
22.35,0.486,5.842,6.574,-0.244,2.866,-2.378
22.4,0.278,5.875,7.195,15.549,2.683,-2.683
22.45,0.261,5.636,6.929,0.549,2.744,-1.768
22.5,0.232,5.703,6.68,0.305,2.988,-1.89
22.55,0.192,5.732,6.756,0.793,2.561,-1.89
22.6,0.383,5.95,6.85,-0.122,2.866,-2.012
