Time,Acc X,Acc Y,Acc Z,Gyro X,Gyro Y,Gyro Z
19.05,0.215,10.029,0.177,-19.268,7.134,1.646
19.1,0.697,9.778,0.048,13.354,1.646,-17.5
19.15,0.29,10.077,-0.74,34.024,0.732,-17.988
19.2,-1.36,9.814,-2.126,44.878,-6.524,-12.5
19.25,-1.417,10.704,-2.296,62.073,1.341,-2.073
19.3,-0.692,11.092,-3.139,39.573,-1.341,4.512
19.35,-0.527,9.895,-2.959,38.232,15.488,1.159
19.4,-0.263,10.537,-4.08,23.171,-1.098,2.866
19.45,0.024,9.701,-3.642,18.963,-2.378,-0.122
19.5,-0.127,9.749,-3.393,22.805,-3.78,-1.402
19.55,-0.357,10.123,-3.912,19.573,-6.037,-1.098
19.6,-0.316,10.214,-4.041,19.939,-6.951,-0.549
19.65,-0.189,10.087,-4.085,20.854,-4.146,-1.22
19.7,-0.335,9.412,-4.123,26.951,-8.415,1.159
19.75,-0.828,9.29,-4.013,28.476,-15.366,3.598
19.8,-0.067,9.773,-4.642,10.244,4.817,10.549
19.85,0.115,9.802,-5.217,1.768,23.841,15.976
19.9,-0.599,10.424,-5.602,-23.476,6.402,8.171
19.95,0.39,9.565,-4.683,-23.598,4.024,7.195
20.0,1.207,9.388,-3.622,-0.488,2.622,-6.341
20.05,0.323,10.034,-4.005,-12.256,5.488,-0.305
20.1,0.17,9.23,-3.677,-6.463,2.561,-5.183
20.15,0.239,9.222,-3.867,-5.183,2.683,-10.244
20.2,0.141,10.228,-3.886,-8.598,-1.463,-4.451
20.25,-0.304,9.606,-3.594,-5.488,5.854,-0.61
20.3,-0.397,9.653,-3.476,-1.768,2.134,-0.671
20.35,0.275,9.507,-4.166,6.951,5.061,-1.646
20.4,0.417,9.855,-4.034,4.146,2.805,-2.561
20.45,0.314,9.756,-4.59,-0.793,1.524,-3.171
20.5,0.163,9.548,-4.005,-5.427,2.988,-4.024
20.55,0.019,9.847,-3.103,-2.683,2.866,-2.195
20.6,0.201,9.823,-3.826,1.585,3.232,-1.22
20.65,0.369,10.041,-4.484,-1.402,3.171,-3.171
20.7,0.007,9.912,-4.063,-3.11,2.073,-2.378
20.75,0.065,10.13,-3.845,-3.476,2.805,-2.805
20.8,0.352,9.914,-3.642,-15.61,2.622,-2.439
20.85,0.139,9.917,-3.97,1.037,2.805,-2.927
20.9,-0.065,9.708,-3.903,15.427,2.256,-2.073
20.95,0.012,9.957,-3.903,-1.524,2.195,-1.707
21.0,-0.129,9.883,-3.97,-15.488,2.012,-2.134
21.05,0.196,9.641,-4.278,-5.366,2.866,-3.11
21.1,0.414,9.778,-4.046,-13.11,4.573,-2.012
21.15,0.069,10.048,-3.5,-14.939,15.488,-2.683
21.2,0.093,9.819,-3.34,-11.829,1.159,-4.024
21.25,0.862,9.728,-2.701,-6.646,1.646,-1.402
21.3,0.381,9.74,-2.784,1.098,0.915,-2.622
21.35,0.086,9.85,-2.801,6.707,2.744,-2.256
21.4,-0.065,10.08,-3.541,6.402,4.207,-1.098
21.45,0.275,9.716,-4.204,0.915,3.841,-1.524
21.5,0.194,9.409,-3.409,-3.963,3.232,-3.293
21.55,0.366,9.924,-3.51,-4.756,2.012,-3.902
21.6,-0.182,9.725,-3.069,-2.256,4.024,-3.171
21.65,0.455,9.907,-3.115,-1.707,1.707,-1.585
21.7,-0.388,10.221,-3.888,2.622,4.451,-2.256
21.75,0.766,10.108,-3.701,1.098,3.354,-2.317
21.8,0.534,9.606,-3.45,0.854,2.622,-2.073
21.85,0.247,9.924,-3.045,-1.829,3.354,-2.317
21.9,0.256,9.878,-2.921,-0.732,3.537,-3.659
21.95,0.041,9.819,-3.17,1.159,2.439,-2.927
22.0,0.144,9.893,-3.639,2.134,1.28,-2.439
22.05,0.496,9.922,-3.543,0.488,4.146,-1.768
22.1,0.122,9.878,-3.476,-2.073,2.561,-2.683
22.15,0.273,10.314,-3.512,-10.244,2.5,-0.671
22.2,0.163,10.295,-3.938,-13.537,24.024,-3.902
22.25,0.56,9.67,-3.433,-10.976,23.963,-5.244
